Model;Epochs;Learning Rate;Accuracy;Parameters;Factorized;Quantize;DA;Prune Size;Prune Type;Prune Ratio[%];Time[min];Train Losses;Test Losses;Accuracies; batch_size
-- Batch search Base
    PreActResNet;50;0.05;77.35;4946596;False;None;False;0;None;0.3;47.06075772444407;[2.0293798461914063, 1.5616766311645507, 1.293257398815155, 1.1761501071834564, 1.0672468159151076, 0.9971152967691421, 0.9539891626930237, 0.9311403729200363, 0.9174660107660294, 0.8958370325279236, 0.8776518537497521, 0.8730377586221695, 0.8720045819044113, 0.866005925116539, 0.8578821709156036, 0.8507345882034302, 0.8463680658507348, 0.841577266664505, 0.8395448959159851, 0.8436749693989753, 0.830591492972374, 0.8234901803398132, 0.8313701467275619, 0.8241316271853447, 0.8272792014455795, 0.8138903419065475, 0.8153455637145043, 0.8158153157377243, 0.8090563779711724, 0.8113996840953827, 0.8098071727156639, 0.8000952281570435, 0.8089557711148262, 0.7954102299404144, 0.7922151475667953, 0.8036949523997307, 0.7932193283343315, 0.7896977303981781, 0.7877360052204132, 0.7845157485508919, 0.7806011959195137, 0.7815635757851601, 0.7760452103853226, 0.7773298501706123, 0.7743435268592834, 0.7729322383379936, 0.7688177157258987, 0.7612477423977851, 0.7639475548315048, 0.7623033690619468];[1.570244285297394, 1.3217897441387176, 1.2997322975635528, 1.1985267979145051, 1.1106096296310424, 1.1371359300851822, 1.1024134243011474, 0.8756046206235886, 1.0957384461879731, 1.1492637801647185, 0.968575818324089, 0.7988751406669616, 0.944406628870964, 1.0793523599982262, 0.8633819625258445, 0.9000145015239716, 1.0222374786615371, 0.8181878357172012, 0.7632340505123139, 0.8235710611104965, 0.9507374207496643, 0.9665750997185707, 1.0440063248395919, 0.8780614224374295, 0.8488957295417786, 0.7719503916978836, 1.064706910777092, 1.4461651517629623, 0.8898515115976333, 1.1959268632411957, 0.8093368408203125, 0.9749904420495034, 0.8992924195766449, 0.9804378842830658, 0.9939323943257332, 0.7978328960061073, 1.2000301070690156, 0.8899904278755189, 0.8530542722463608, 0.9585527455806733, 1.0320696735858916, 0.7488289502263069, 0.852957573235035, 1.4453935208082198, 0.795338936662674, 0.7239111421108246, 1.1825435111999512, 0.7529218806982041, 0.6811130407691002, 0.749685235619545];[41.02, 53.71, 53.56, 58.43, 63.16, 64.28, 65.68, 70.51, 65.68, 62.23, 69.34, 73.61, 69.34, 67.65, 72.52, 70.56, 67.6, 73.07, 74.46, 72.96, 68.37, 70.56, 68.3, 71.92, 71.76, 75.02, 70.1, 61.2, 69.79, 66.34, 71.6, 69.95, 69.78, 70.68, 69.89, 74.35, 67.52, 71.85, 71.93, 70.78, 68.79, 75.56, 72.79, 60.8, 74.43, 76.57, 62.58, 75.55, 77.35, 75.72];16
    PreActResNet;50;0.05;82.67;4946596;False;None;False;0;None;0.3;36.07356525262197;[2.018340105134863, 1.4209918731004858, 1.1188076031337697, 0.9493709258635076, 0.8311485321340237, 0.7696359016654283, 0.7232008952401955, 0.6985050013773882, 0.6723143341197315, 0.6672456279463747, 0.6544382746068621, 0.6361225821597409, 0.6294738440771402, 0.6205118463940141, 0.6137325926061173, 0.6026018574709932, 0.5982608807273805, 0.596510551131008, 0.5890271816014175, 0.5872949743148843, 0.5825822506378799, 0.5830894811978649, 0.578253036745069, 0.5732550250458092, 0.5696265862316789, 0.5708821192097755, 0.5704589592327465, 0.5595586539573266, 0.5634298460869094, 0.5552545350738541, 0.5542618439879009, 0.5573768781322893, 0.5570693669110174, 0.5440962080219885, 0.5485285551538089, 0.5496892881122676, 0.5444184646811229, 0.5373887968364619, 0.5393170391567533, 0.5397401338994923, 0.5328102959790675, 0.5339902665940371, 0.5280931743763992, 0.532427764652024, 0.5350785791177972, 0.5236818502756624, 0.5233339661218689, 0.5261763408065071, 0.5119263025588205, 0.5127919037097628];[1.5947929616934193, 1.165327381402159, 0.9750212371920626, 0.985445685565662, 0.948701435384659, 0.9890797482892728, 0.7559221636373014, 0.9382778836515384, 1.0098602869830573, 0.7541776683193426, 0.6838188147582946, 0.7163511289956089, 1.0621458768082883, 0.8776279808804631, 0.6351229630815335, 0.7531704139976075, 0.803105534932103, 0.7140086328926177, 1.1456052016335936, 0.718686398987572, 0.6235953921231979, 0.5383258276282789, 0.7312648567243125, 0.7249869634739508, 0.5885718532930166, 0.7598618647446648, 0.7573333724904746, 0.639799134133342, 0.7115665674685671, 0.789085649025326, 0.5479012212147728, 0.6660062401725081, 0.6634031290920398, 1.0866557741507936, 0.5270789949753033, 0.6088213832995382, 0.5044435296243373, 0.6157256397671593, 0.7143450524574652, 0.5454702580127472, 0.6085121068901147, 0.7813667455991617, 0.6417728312575398, 0.6603610090935192, 0.6156427658880099, 0.5930462830458967, 0.6070354277143082, 0.6034281270477337, 0.6550217624575185, 0.5676115566073134];[39.73, 58.41, 65.13, 67.76, 69.63, 68.87, 75.61, 69.42, 68.05, 75.41, 77.1, 76.77, 70.8, 73.3, 78.96, 75.22, 76.13, 78.09, 67.21, 76.68, 80.22, 82.15, 76.28, 76.69, 80.63, 75.82, 74.62, 78.89, 77.45, 75.21, 82.4, 78.63, 79.07, 69.4, 82.27, 80.11, 82.67, 79.43, 76.97, 82.22, 80.34, 75.4, 79.72, 79.44, 80.33, 81.32, 79.29, 80.67, 78.94, 80.84];32
    PreActResNet;50;0.05;86.34;4946596;False;None;False;0;None;0.3;30.790090012550355;[1.940704017801358, 1.3773565613247853, 1.0750901632754088, 0.8973535689551507, 0.7603880454359762, 0.6742998358157589, 0.6141822763797268, 0.5813253751724882, 0.5532434696660322, 0.5307869092963845, 0.5134463960023792, 0.4964451733071481, 0.4845157499851473, 0.4720096701322614, 0.4685472617749973, 0.4510384136263062, 0.4519678374271259, 0.4409313728399289, 0.43201845470825423, 0.43291288772431175, 0.42767185500591914, 0.41983607741039425, 0.4154591738910931, 0.4113257826327363, 0.4082240824542387, 0.4087673674344712, 0.40167713413000716, 0.39785225249236195, 0.395586733622929, 0.3991398019025393, 0.389792813626511, 0.3942550154369506, 0.3836430626566453, 0.39065840695520193, 0.38262313379503576, 0.3800635142513858, 0.3770943518223055, 0.3760947916475708, 0.3718940125173315, 0.3754692866045343, 0.3718349447907389, 0.36776728487914173, 0.36051924472384134, 0.36887488321727496, 0.3645597113024853, 0.3604982172227119, 0.35401419154785174, 0.35374571917497594, 0.351334628861045, 0.3511635372724832];[1.5419826545533102, 1.205024537766815, 1.0294226734501541, 0.9325998546970877, 0.8399395946484463, 0.7410118560882131, 0.6754781613304357, 0.837706406784665, 0.6752385153512287, 0.7018952453212374, 0.5473277362858414, 0.6043598657580698, 0.6212646872944133, 0.7316342782063089, 0.7711589061150885, 0.6243414677632083, 0.6107762078191065, 0.8595596278549, 0.5363355696580971, 0.6666483742416285, 0.5602667373456772, 0.5251480247944024, 0.5278582952584431, 0.632226198152372, 0.5380594598449719, 0.6862031481448253, 0.45056319758770574, 0.5126654811345848, 0.5425302756440108, 0.5318974044862067, 0.6465571649894593, 0.6613678153912732, 0.6449392234823507, 0.5909783785130568, 0.4684474304982811, 0.5193020746016958, 0.47229445075533194, 0.4948563655470587, 0.4652052756612468, 0.48986303151413135, 0.40958157129538286, 0.4335614175173887, 0.5172371837743528, 0.5032845958592785, 0.43094489775645506, 0.5340736164788532, 0.4243300864650945, 0.4284068839090645, 0.6339586707437115, 0.43006962969614443];[40.78, 56.6, 65.27, 67.33, 72.12, 75.44, 77.64, 73.76, 77.73, 76.73, 81.79, 81.05, 79.46, 77.75, 77.35, 79.5, 79.92, 74.98, 82.14, 78.61, 81.34, 83.23, 82.84, 80.35, 82.36, 78.92, 84.79, 83.18, 83.67, 83.34, 79.94, 80.22, 79.85, 80.74, 84.95, 82.77, 83.89, 83.89, 84.31, 84.61, 86.34, 85.92, 83.69, 83.27, 85.48, 83.43, 85.68, 86.28, 79.67, 86.05];64

-- Batch Search with DA
    PreActResNet;50;0.05;74.73;4946596;False;None;True;0;None;0.3;58.67492367426554;[2.1640417576599122, 1.6898239392280578, 1.4499128481292725, 1.2385058053588867, 1.11336606218338, 1.05621322057724, 1.016322783756256, 0.9934937975692749, 0.9798953369045258, 0.9684398204374314, 0.954988638753891, 0.9438683071517945, 0.9342788825893402, 0.9357979937791824, 0.9330003737974167, 0.9196892032384872, 0.9128768168115616, 0.9188961622238159, 0.9143242366361618, 0.9011023507785797, 0.9040178844547272, 0.9058009171056748, 0.8981567480325698, 0.8913899379944802, 0.8945820380973816, 0.894310461821556, 0.884385465183258, 0.8905815145683289, 0.8851925196886062, 0.8824415083312989, 0.8754374171280861, 0.878701701054573, 0.8738552330732345, 0.8764367276763916, 0.8808968194532394, 0.8632308102846146, 0.861262613248825, 0.8606920935297012, 0.8610770787668228, 0.8597757556867599, 0.8510704334616661, 0.8568205286121369, 0.8515591463422775, 0.8443546358013153, 0.8449190886640549, 0.8408025745630264, 0.8443524313259124, 0.8502755076026917, 0.8405556117630005, 0.8382931699895859];[1.7085062627792358, 1.540956667804718, 1.264574362182617, 1.163063608312607, 1.0748986940860747, 1.0679211550951004, 1.125201009273529, 1.1473123211145402, 0.7994414160013199, 0.8533257699728012, 1.0549915328502655, 1.0280907331109046, 0.9258840389728547, 0.8910324758291245, 1.0833195468187333, 0.8186690531373024, 1.6276723811626435, 1.0607243841409684, 0.9578161816835403, 0.7842955264687538, 0.8510726394414901, 0.8337609753131866, 1.0173325918793679, 1.3316504987239837, 0.8488320276498794, 1.2157363290071488, 0.84042616314888, 1.2047912600040436, 0.8647899754762649, 1.4362106576919556, 0.9246300432562828, 0.851800390291214, 0.9288267919540405, 0.9475459984064102, 0.8660732136487961, 1.2037279418706894, 0.8967696490526199, 0.8858060465455055, 0.9048605073094368, 0.9193604848742485, 1.0823768911361695, 0.8611881930828095, 0.786237505364418, 1.027095593905449, 0.7952869168400765, 0.9506266370773315, 0.8739373279809952, 0.9118773239850998, 0.8420932072520256, 0.8499227015256882];[34.57, 45.43, 57.15, 60.69, 63.78, 66.26, 65.3, 65.36, 72.99, 71.83, 64.55, 67.63, 69.51, 70.83, 66.3, 72.29, 59.67, 68.79, 69.04, 74.72, 71.89, 71.79, 68.04, 62.55, 72.08, 66.86, 70.73, 63.82, 71.03, 62.14, 70.29, 73.26, 70.34, 69.55, 71.0, 64.68, 71.91, 72.36, 70.19, 71.27, 65.47, 72.07, 74.73, 69.37, 72.8, 70.81, 72.25, 70.28, 73.6, 72.21];16
    PreActResNet;50;0.05;82.04;4946596;False;None;True;0;None;0.3;43.72078237136205;[1.8729269130063682, 1.3672526132885034, 1.130338507208089, 1.0071839591248708, 0.9034639089365305, 0.8364552078305035, 0.7929605210029538, 0.7607490077223903, 0.757306586109669, 0.7341852386411153, 0.7185702120464579, 0.6991503706877611, 0.7031580679838427, 0.6832825216588041, 0.6821597000191933, 0.666889118713518, 0.6674276276688811, 0.6586667978355538, 0.6632440607954276, 0.6520161477232772, 0.6496559222939681, 0.6399544541815192, 0.6409746998502746, 0.6408362210140118, 0.6378906462734811, 0.6312172128768282, 0.6271959282958347, 0.6210133342771902, 0.6255164419039273, 0.6198597619034736, 0.6220139760240407, 0.6217398742072031, 0.6151593703054421, 0.6117811058186142, 0.6084202918499918, 0.6090450993883861, 0.6100872257105906, 0.6035014913677788, 0.6054926444457573, 0.5982713964568143, 0.5937786402606232, 0.5930742442569745, 0.5905281391021004, 0.5983912463008557, 0.5911099957451177, 0.5911519620960825, 0.5809195827804768, 0.5789493516764425, 0.5788359164772168, 0.5769042325797785];[1.5037280614383686, 1.2580861599681477, 1.6587265847970882, 1.0147442322569533, 1.332095834774712, 0.994863231627705, 0.7648004464352854, 1.0247564957545587, 0.6920903826864383, 0.8403455337967736, 0.8426337851503025, 0.8542155327317053, 1.2674999104711575, 0.6934752488574281, 1.0706793063174422, 0.9485037428692887, 0.7479707532511732, 0.7701208191081739, 0.8346686580310614, 0.7201842818968593, 0.6748235329938012, 0.781006529165533, 0.7896110916290039, 0.7511599068634045, 0.6029822951117263, 0.8610931412099649, 0.8742175980116993, 0.6928420011608746, 0.73874768091086, 0.5377041601810973, 0.8845955260074176, 0.6575993760801352, 0.541712772922394, 0.6483466155327167, 0.5367695979607372, 0.6695557446382678, 0.5912123166810209, 0.7698942449527045, 0.8447248612920316, 1.2535891193932238, 0.9027458106557401, 0.7273281170442082, 0.7960125152676251, 0.7917098024973093, 0.6216510300533459, 0.6877894254681021, 0.7669626576736712, 0.6029543095884232, 0.7415025607465555, 0.6367728347405077];[45.51, 55.4, 52.26, 66.76, 60.01, 69.29, 74.88, 68.73, 77.24, 73.97, 72.77, 72.54, 64.07, 76.26, 65.71, 72.0, 75.35, 75.77, 74.75, 76.33, 77.35, 76.03, 75.11, 76.68, 80.47, 73.18, 73.82, 78.74, 75.98, 82.04, 73.23, 78.3, 81.78, 79.08, 81.6, 78.11, 80.84, 75.7, 73.42, 67.86, 73.83, 77.78, 74.85, 76.06, 79.49, 77.86, 76.67, 79.76, 77.45, 78.87];32
    PreActResNet;50;0.05;84.81;4946596;False;None;True;0;None;0.3;43.34518647193909;[2.2284293247915596, 1.6155539379095483, 1.3217996482349113, 1.1116971531335045, 0.9723552608733896, 0.8657252348749839, 0.7828815379334838, 0.7253783600943168, 0.6754513998013323, 0.6481765274653959, 0.6274809809520726, 0.6051036946456451, 0.5854017214701913, 0.5676520585708911, 0.5686170745002644, 0.547681516184069, 0.540254447542493, 0.5314107655983447, 0.5199989608829588, 0.518912333871245, 0.5141739074874412, 0.5045984472002825, 0.4961671179060436, 0.4955527326830513, 0.49236976867898957, 0.4889590567754358, 0.4783540848652115, 0.475372806839321, 0.4767048663609778, 0.4683570212415417, 0.46583525880294685, 0.4668034624184489, 0.4565490398679853, 0.46304114488765713, 0.454900592813254, 0.45796509748300934, 0.45542321397977714, 0.45155770348770846, 0.45450328198997564, 0.44474203276740926, 0.4382200433736872, 0.4404789854955795, 0.4380062107006302, 0.4341707275918378, 0.4291575007388354, 0.43373997071210074, 0.431840623774187, 0.42792363066578765, 0.42805679948509806, 0.422055391418507];[1.8172023455808117, 1.5226368661139422, 1.2091035262034957, 1.125570870888461, 1.0614719880614312, 1.0300968035011535, 0.9814926803491677, 0.7185809940669188, 0.7061957692264751, 0.8455135129439603, 0.6545761322519582, 0.9888052966943972, 0.6430349052901481, 0.8061275945347586, 0.717099846927983, 0.5265283711776612, 0.6702421465117461, 0.5362251562297724, 0.5518103705090323, 1.0155877311518238, 0.6283853920591864, 0.6403465384890319, 0.5987084054263534, 0.7888179472677267, 0.9546047031499778, 0.6596212307359003, 0.6054530572739376, 0.49661912935174957, 0.5683868217050649, 1.306591244260217, 0.45466792004503265, 0.6072795913097965, 0.6905184259080583, 0.5238389751523923, 0.5102448452999637, 0.5992859522248529, 0.5642933300725973, 0.5768386618157101, 0.5680443270570913, 0.5714814546191769, 0.7388897175621835, 0.5889461659322119, 0.4626840215389896, 0.5150946924451051, 0.5786783851825508, 0.6361155957932685, 0.6941465247588553, 0.5421479602528226, 0.6014818067953085, 0.6194818273281596];[30.98, 44.32, 57.0, 61.02, 65.17, 67.9, 68.21, 75.97, 76.49, 73.44, 78.45, 71.08, 79.26, 75.24, 76.51, 82.58, 78.58, 82.19, 81.61, 72.97, 80.53, 79.17, 80.2, 76.16, 73.43, 79.0, 80.35, 83.42, 82.09, 65.67, 84.4, 80.88, 78.49, 82.88, 83.37, 82.48, 81.86, 80.32, 81.12, 81.42, 77.45, 80.44, 84.81, 83.15, 82.11, 80.4, 79.17, 82.28, 81.96, 81.84];64

